neworold,ownership,status,lift_avail,car_parking_avail,Gas_conn_avail,age,area,balconies,bathroom,bhk,floor,place,price,price_per_sq
0,2,0,1,1,0,9,600,1,2,1 BHK Villa ,9,Bavdhan,4000000,6666
1,3,3,1,1,0,2,955,2,2,2 BHK Apartment ,3,Wagholi,4200000,4397
0,3,0,0,1,0,4,2470,2,3,3 BHK Villa ,1,Wagholi,9400000,3805
0,3,2,1,1,0,2,575,2,1,1 BHK Apartment ,9,Wanowrie,3700000,6434
0,1,2,1,1,1,12,500,2,1,1 BHK Apartment ,3,Viman Nagar,3900000,7800
0,3,0,0,0,0,1,634,1,1,1 BHK Apartment ,8,Wagholi,3100000,4889
0,3,0,1,1,0,4,900,2,2,2 BHK Apartment ,3,Wagholi,3900000,4333
0,2,2,1,1,1,5,1050,2,2,2 BHK Apartment ,6,Wakad,5800000,5523
0,2,0,1,1,0,5,680,2,1,1 BHK Apartment ,6,Wakad,4300000,6323
0,2,0,1,1,0,8,1485,2,3,3 BHK Apartment ,5,Wakad,7500000,5050
0,2,0,1,1,0,8,1485,2,3,3 BHK Apartment ,11,Wakad,7600000,5117
0,3,0,1,1,0,4,980,2,2,2 BHK Apartment ,5,Wagholi,3600000,3673
0,3,1,1,1,1,3,1280,2,2,2 BHK Apartment ,3,Wagholi,7200000,5625
1,3,3,1,1,0,1,1002,1,2,2 BHK Apartment ,5,Wagholi,4200000,4191
0,3,0,1,1,0,18,1400,2,2,2 BHK Apartment ,3,Baner,10000000,7142
1,3,3,1,1,0,1,1001,2,2,2 BHK Apartment ,7,Wagholi,3800000,3796
0,3,0,0,1,0,3,2800,3,3,3 BHK Villa ,1,Wagholi,9500000,3392
0,3,2,0,1,0,13,2400,2,3,3 BHK Villa ,1,Baner,18500000,7708
0,3,0,1,1,0,5,750,1,2,2 BHK Apartment ,1,Wagholi,3500000,4666
0,3,0,0,1,0,2,675,1,2,1 BHK Apartment ,2,Rahatani,4500000,6666
0,2,0,1,1,0,13,915,1,2,2 BHK Apartment ,10,Aundh,9000000,9836
0,2,2,0,1,0,6,1550,2,3,3 BHK Apartment ,5,Aundh,16500000,10645
0,3,0,1,1,1,4,1250,2,3,3 BHK Apartment ,6,Kalyani Nagar,8900000,7120
0,3,0,1,1,1,4,1860,2,3,3 BHK Apartment ,11,Baner,9500000,5107
1,3,3,1,1,1,0,1426,1,3,3 BHK Apartment ,7,Sus,7400000,5189
0,3,0,1,1,0,6,1775,2,3,3 BHK Apartment ,3,Kalyani Nagar,15000000,8450
0,2,0,1,1,0,2,1360,2,3,3 BHK Apartment ,6,Viman Nagar,9800000,7205
0,2,2,1,1,1,9,1678,2,2,2 BHK Apartment ,2,Kalyani Nagar,12000000,7151
1,2,3,1,1,0,0,989,1,2,2 BHK Apartment ,0,Undri,3600000,3640
0,2,0,1,1,0,7,650,1,1,1 BHK Apartment ,12,Hadapsar,6000000,9230
0,3,0,0,0,0,0,1430,1,2,2 BHK Apartment ,2,Kalyani Nagar,15000000,10489
0,2,0,1,1,0,11,925,2,2,2 BHK Apartment ,9,Aundh,9500000,10270
0,2,0,1,1,0,6,930,1,2,2 BHK Apartment ,3,Hadapsar,3500000,3763
0,2,0,1,1,0,5,900,1,2,2 BHK Apartment ,5,Manjari,4000000,4444
0,2,0,1,1,0,5,550,1,1,1 BHK Apartment ,3,Manjari,2400000,4363
1,2,3,1,1,0,2,1600,2,3,3 BHK Apartment ,4,NIBM,6400000,4000
1,2,3,1,1,0,3,4580,2,4,4 BHK Apartment ,5,NIBM Annex Mohammadwadi,32060000,7000
1,2,3,1,1,0,3,4175,2,4,4 BHK Apartment ,6,NIBM Annex Mohammadwadi,20875000,5000
1,3,3,1,1,1,0,963,2,2,2 BHK Apartment ,7,Balewadi,5500000,5711
0,3,0,1,1,0,4,823,1,2,2 BHK Apartment ,2,Wagholi,3500000,4252
0,2,0,1,1,0,2,1200,2,2,2 BHK Apartment ,11,Hadapsar,9200000,7666
0,2,0,1,1,0,14,1050,1,2,2 BHK Apartment ,5,Hadapsar,7800000,7428
0,2,0,1,1,0,4,560,1,1,1 BHK Apartment ,1,Hadapsar,2500000,4464
0,2,0,1,1,0,2,650,1,1,1 BHK Apartment ,4,Hadapsar,2200000,3384
0,2,0,1,1,0,5,650,1,1,1 BHK Apartment ,4,Hadapsar,4100000,6307
0,2,0,1,1,0,5,980,2,2,2 BHK Apartment ,3,Hadapsar,7000000,7142
0,2,0,1,1,0,6,630,1,1,1 BHK Apartment ,5,Hadapsar,4500000,7142
1,3,3,1,1,0,0,1061,1,2,2 BHK Apartment ,6,Bavdhan,6472000,6099
0,3,1,1,1,0,6,1500,2,3,3 BHK Apartment ,7,NIBM,9000000,6000
0,3,0,1,1,0,16,1150,2,2,2 BHK Apartment ,2,Aundh,12500000,10869
0,3,0,1,1,0,12,1175,2,2,2 BHK Apartment ,2,Wanowrie,10000000,8510
0,3,0,1,1,0,2,2200,2,3,3 BHK Apartment ,3,Undri,15000000,6818
0,3,0,1,1,0,2,1100,2,2,2 BHK Apartment ,4,Wanowrie,7000000,6363
0,3,0,1,1,0,11,1100,2,2,2 BHK Apartment ,1,Wanowrie,7000000,6363
0,3,0,1,1,0,11,1050,2,2,2 BHK Apartment ,4,Kondhwa,6300000,6000
1,3,3,1,1,0,1,660,2,1,1 BHK Apartment ,3,Wagholi,2800000,4242
0,2,0,1,1,0,7,1050,1,2,2 BHK Apartment ,7,NIBM Annex Mohammadwadi,4400000,4190
0,2,2,1,1,1,9,850,1,2,2 BHK Apartment ,1,Hadapsar,3600000,4235
0,3,0,1,1,0,10,1150,2,2,2 BHK Apartment ,5,NIBM,6500000,5652
0,3,1,1,0,0,0,1035,1,2,2 BHK Apartment ,5,Undri,5500000,5314
0,3,0,0,0,0,1,642,2,1,1 BHK Apartment ,10,Wagholi,3200000,4984
0,3,0,1,1,0,7,632,2,1,1 BHK Apartment ,3,Hadapsar,3300000,5221
0,3,0,1,1,0,5,910,2,2,2 BHK Apartment ,5,Wakad,6400000,7032
